Dates,Open rates,Max Rates,Min Rates
02-01-2015,"6,0500","6,1100","6,0000"
05-01-2015,"6,0300","6,1200","5,9200"
07-01-2015,"6,0000","6,0900","6,0000"
08-01-2015,"6,0100","6,4900","6,0100"
09-01-2015,"6,4000","6,4000","6,2800"
12-01-2015,"6,2900","6,4000","6,2600"
13-01-2015,"6,3500","6,6300","6,3500"
14-01-2015,"6,4800","6,5000","6,3300"
15-01-2015,"6,4400","6,4800","6,1600"
16-01-2015,"6,4800","6,4800","6,1600"
19-01-2015,"6,2000","6,3000","6,1600"
20-01-2015,"6,1000","6,4000","6,0900"
21-01-2015,"6,2500","6,3700","6,1000"
22-01-2015,"6,4100","6,4100","6,0100"
23-01-2015,"6,1200","6,2500","6,1000"
26-01-2015,"6,2500","6,2500","6,1500"
27-01-2015,"6,1500","6,2600","6,1000"
28-01-2015,"6,2300","6,3900","6,2300"
29-01-2015,"6,2900","6,4100","6,2100"
30-01-2015,"6,3000","6,6500","6,3000"
02-02-2015,"6,6400","6,6400","6,6000"
03-02-2015,"6,6000","6,6000","6,4500"
04-02-2015,"6,4500","6,5700","6,4000"
05-02-2015,"6,5000","6,6100","6,4900"
06-02-2015,"6,6500","6,6500","6,5500"
09-02-2015,"6,6000","6,9800","6,6000"
10-02-2015,"6,9800","7,1500","6,8500"
11-02-2015,"6,8600","6,9700","6,7700"
12-02-2015,"6,9500","6,9700","6,7500"
13-02-2015,"6,9000","6,9000","6,6800"
16-02-2015,"6,6800","6,8100","6,4500"
17-02-2015,"6,6900","6,7300","6,5100"
18-02-2015,"6,7400","6,8000","6,5100"
19-02-2015,"6,6300","6,7300","6,5400"
20-02-2015,"6,5900","6,8000","6,5200"
23-02-2015,"6,8000","6,9700","6,7700"
24-02-2015,"6,7000","6,7500","6,5800"
25-02-2015,"6,6300","6,6500","6,5900"
26-02-2015,"6,7100","6,9900","6,7100"
27-02-2015,"6,9900","7,4000","6,9500"
02-03-2015,"7,1700","7,5700","7,1700"
03-03-2015,"7,5700","7,9700","7,5000"
04-03-2015,"7,9500","8,1500","7,8000"
05-03-2015,"8,0800","8,1600","7,7500"
06-03-2015,"8,0200","9,3900","8,0200"
09-03-2015,"9,4000","9,7000","9,1000"
10-03-2015,"9,4000","9,4000","9,0600"
11-03-2015,"9,0600","9,1000","8,7400"
12-03-2015,"8,8800","9,4000","8,8800"
13-03-2015,"9,3900","9,3900","9,0700"
16-03-2015,"9,5000","10,1800","9,5000"
17-03-2015,"10,1900","10,5500","9,8700"
18-03-2015,"10,5500","11,1000","10,3000"
19-03-2015,"10,5000","10,9000","9,9500"
20-03-2015,"10,0900","10,2000","9,6000"
23-03-2015,"10,1900","10,9100","9,9100"
24-03-2015,"10,9100","10,9500","10,6000"
25-03-2015,"10,7000","10,8400","10,5000"
26-03-2015,"10,5000","10,5000","10,1400"
27-03-2015,"10,3900","10,8500","10,3900"
30-03-2015,"10,8000","10,8000","10,4900"
31-03-2015,"10,5700","11,0500","10,5700"
01-04-2015,"10,9700","10,9700","10,5600"
02-04-2015,"10,6500","10,6900","10,5500"
07-04-2015,"10,5500","10,6900","10,4100"
08-04-2015,"10,4300","10,5700","10,0400"
09-04-2015,"10,4000","10,5500","10,2200"
10-04-2015,"10,3100","10,3100","10,1000"
13-04-2015,"10,1000","10,4000","10,1000"
14-04-2015,"10,3900","11,8800","10,2500"
15-04-2015,"11,2000","11,6800","11,2000"
16-04-2015,"11,4900","11,5000","11,3000"
17-04-2015,"11,3000","11,3000","11,0000"
20-04-2015,"11,3400","11,8500","11,1400"
